[[-5,0,0],{"type":"fight"}]
[[0,1484274447113],[30,0]]
[[1,1484274447160],[30,1]]
[[2,1484274447206],[30,2]]
[[3,1484274447253],[30,3]]
[[4,1484274447311],[30,4]]
[[5,1484274447357],[30,5]]
[[6,1484274447403],[30,6]]
[[7,1484274447462],[30,7]]
[[8,1484274447508],[30,8]]
[[9,1484274447554],[30,9]]
[[10,1484274447613],[30,10]]
[[11,1484274447659],[30,11]]
[[12,1484274447705],[30,12]]
[[13,1484274447763],[30,13]]
[[14,1484274447808],[30,14]]
[[15,1484274447861],[30,15]]
[[16,1484274447906],[30,16]]
[[17,1484274447961],[30,17]]
[[18,1484274448007],[30,18]]
[[19,1484274448054],[30,19]]
[[20,1484274448112],[30,20]]
[[21,1484274448158],[30,21]]
[[22,1484274448205],[30,22]]
[[23,1484274448263],[30,23]]
[[24,1484274448309],[30,24]]
[[25,1484274448356],[30,25]]
[[26,1484274448414],[30,26]]
[[27,1484274448458],[30,27]]
[[28,1484274448513],[30,28]]
[[29,1484274448558],[30,29]]
[[30,1484274448608],[30,30]]
[[31,1484274448655],[30,31]]
[[32,1484274448709],[30,32]]
[[33,1484274448753],[30,33]]
[[34,1484274448808],[30,34]]
[[35,1484274448862],[30,35]]
[[36,1484274448907],[30,36]]
[[37,1484274448962],[30,37]]
[[38,1484274449012],[30,38]]
[[39,1484274449056],[30,39]]
[[40,1484274449111],[30,40]]
[[41,1484274449157],[30,41]]
[[42,1484274449203],[30,42]]
[[43,1484274449261],[30,43]]
[[44,1484274449306],[30,44]]
[[45,1484274449353],[30,45]]
[[46,1484274449412],[30,46]]
[[47,1484274449458],[30,47]]
[[48,1484274449505],[30,48]]
[[49,1484274449564],[30,49]]
[[50,1484274449609],[30,50]]
[[51,1484274449656],[30,51]]
[[52,1484274449709],[30,52]]
[[53,1484274449753],[30,53]]
[[54,1484274449806],[30,54]]
[[55,1484274449862],[30,55]]
[[56,1484274449909],[30,56]]
[[57,1484274449958],[30,57]]
[[58,1484274450004],[30,58]]
[[59,1484274450061],[30,59]]
[[60,1484274450106],[30,60]]
[[61,1484274450163],[30,61]]
[[62,1484274450206],[30,62]]
[[63,1484274450261],[30,63]]
[[64,1484274450304],[30,64]]
[[65,1484274450359],[30,65]]
[[66,1484274450403],[30,66]]
[[67,1484274450460],[30,67]]
[[68,1484274450509],[30,68]]
[[69,1484274450563],[30,69]]
[[70,1484274450608],[30,70]]
[[71,1484274450653],[30,71]]
[[72,1484274450712],[30,72]]
[[73,1484274450760],[30,73]]
[[74,1484274450805],[30,74]]
[[75,1484274450863],[30,75]]
[[76,1484274450910],[30,76]]
[[77,1484274450956],[30,77]]
[[78,1484274451012],[30,78]]
[[79,1484274451061],[30,79]]
[[80,1484274451107],[30,80]]
[[81,1484274451154],[30,81]]
[[82,1484274451212],[30,82]]
[[83,1484274451258],[30,83]]
[[84,1484274451305],[30,84]]
[[85,1484274451362],[30,85]]
[[86,1484274451407],[30,86]]
[[87,1484274451455],[30,87]]
[[88,1484274451513],[30,88]]
[[89,1484274451560],[30,89]]
[[90,1484274451606],[30,90]]
[[91,1484274451653],[30,91]]
[[92,1484274451706],[30,92]]
[[93,1484274451762],[30,93]]
[[94,1484274451809],[30,94]]
[[95,1484274451858],[30,95]]
[[96,1484274451911],[30,96]]
[[97,1484274451953],[30,97]]
[[98,1484274452009],[30,98]]
[[99,1484274452060],[30,99],[10,"117_1_0",2,"0_4"],[10,"123_1_0",2,"6_6"],[10,"129_1_0",2,"12_8"]]
[[100,1484274452106],[30,100]]
[[101,1484274452164],[30,101]]
[[102,1484274452210],[30,102]]
[[103,1484274452256],[30,103]]
[[104,1484274452303],[30,104]]
[[105,1484274452361],[30,105]]
[[106,1484274452407],[30,106]]
[[107,1484274452454],[30,107]]
[[108,1484274452512],[30,108]]
[[109,1484274452558],[30,109]]
[[110,1484274452605],[30,110]]
[[111,1484274452663],[30,111]]
[[112,1484274452709],[30,112]]
[[113,1484274452756],[30,113]]
[[114,1484274452814],[30,114]]
[[115,1484274452860],[30,115]]
[[116,1484274452907],[30,116]]
[[117,1484274452953],[30,117]]
[[118,1484274453011],[30,118]]
[[119,1484274453058],[30,119]]
[[120,1484274453104],[30,120]]
[[121,1484274453162],[30,121]]
[[122,1484274453208],[30,122]]
[[123,1484274453255],[30,123]]
[[124,1484274453313],[30,124]]
[[125,1484274453359],[30,125]]
[[126,1484274453406],[30,126]]
[[127,1484274453464],[30,127]]
[[128,1484274453510],[30,128]]
[[129,1484274453556],[30,129]]
[[130,1484274453603],[30,130]]
[[131,1484274453657],[30,131]]
[[132,1484274453711],[30,132]]
[[133,1484274453757],[30,133]]
[[134,1484274453804],[30,134]]
[[135,1484274453858],[30,135]]
[[136,1484274453905],[30,136]]
[[137,1484274453963],[30,137]]
[[138,1484274454010],[30,138]]
[[139,1484274454056],[30,139]]
[[140,1484274454114],[30,140]]
[[141,1484274454161],[30,141]]
[[142,1484274454207],[30,142]]
[[143,1484274454253],[30,143]]
[[144,1484274454311],[30,144]]
[[145,1484274454358],[30,145]]
[[146,1484274454404],[30,146]]
[[147,1484274454461],[30,147]]
[[148,1484274454504],[30,148]]
[[149,1484274454562],[30,149]]
[[150,1484274454609],[30,150]]
[[151,1484274454658],[30,151]]
[[152,1484274454706],[30,152]]
[[153,1484274454753],[30,153]]
[[154,1484274454811],[30,154]]
[[155,1484274454857],[30,155]]
[[156,1484274454904],[30,156]]
[[157,1484274454962],[30,157]]
[[158,1484274455005],[30,158]]
[[159,1484274455062],[30,159]]
[[160,1484274455109],[30,160]]
[[161,1484274455156],[30,161]]
[[162,1484274455210],[30,162]]
[[163,1484274455265],[30,163]]
[[164,1484274455310],[30,164]]
[[165,1484274455356],[30,165]]
[[166,1484274455403],[30,166]]
[[167,1484274455460],[30,167]]
[[168,1484274455507],[30,168]]
[[169,1484274455554],[30,169]]
[[170,1484274455612],[30,170]]
[[171,1484274455658],[30,171]]
[[172,1484274455705],[30,172]]
[[173,1484274455763],[30,173]]
[[174,1484274455809],[30,174]]
[[175,1484274455856],[30,175]]
[[176,1484274455914],[30,176]]
[[177,1484274455959],[30,177]]
[[178,1484274456005],[30,178]]
[[179,1484274456061],[30,179]]
[[180,1484274456106],[30,180]]
[[181,1484274456161],[30,181]]
[[182,1484274456204],[30,182]]
[[183,1484274456262],[30,183]]
[[184,1484274456308],[30,184]]
[[185,1484274456355],[30,185]]
[[186,1484274456412],[30,186]]
[[187,1484274456459],[30,187]]
[[188,1484274456506],[30,188]]
[[189,1484274456564],[30,189]]
[[190,1484274456610],[30,190]]
[[191,1484274456657],[30,191]]
[[192,1484274456703],[30,192]]
[[193,1484274456761],[30,193]]
[[194,1484274456808],[30,194]]
[[195,1484274456854],[30,195]]
[[196,1484274456913],[30,196]]
[[197,1484274456958],[30,197]]
[[198,1484274457005],[30,198]]
[[199,1484274457062],[30,199]]
[[200,1484274457109],[30,200]]
[[201,1484274457156],[30,201]]
[[202,1484274457212],[30,202]]
[[203,1484274457256],[30,203]]
[[204,1484274457312],[30,204]]
[[205,1484274457357],[30,205]]
[[206,1484274457404],[30,206],[2,60,4]]
[[207,1484274457460],[30,207],[2,60,4]]
[[208,1484274457504],[30,208],[2,60,4]]
[[209,1484274457558],[30,209],[2,60,4]]
[[210,1484274457606],[30,210],[2,60,4]]
[[211,1484274457662],[30,211],[2,60,4]]
[[212,1484274457706],[30,212]]
[[213,1484274457753],[30,213],[2,60,4]]
[[214,1484274457805],[30,214],[2,60,4]]
[[215,1484274457861],[30,215],[2,60,4]]
[[216,1484274457906],[30,216],[2,60,4]]
[[217,1484274457960],[30,217],[2,60,4]]
[[218,1484274458005],[30,218],[2,60,4]]
[[219,1484274458063],[30,219]]
[[220,1484274458108],[30,220]]
[[221,1484274458154],[30,221]]
[[222,1484274458208],[30,222],[1,60,1]]
[[223,1484274458260],[30,223],[1,60,1]]
[[224,1484274458305],[30,224],[2,60,1]]
[[225,1484274458361],[30,225],[2,60,1]]
[[226,1484274458404],[30,226],[2,60,1]]
[[227,1484274458463],[30,227],[2,60,1]]
[[228,1484274458506],[30,228],[2,60,1]]
[[229,1484274458561],[30,229],[2,60,1]]
[[230,1484274458604],[30,230],[2,60,1]]
