[[-5,0,0],{"type":"fight"}]
[[0,1484274230561],[30,0]]
[[1,1484274230606],[30,1]]
[[2,1484274230653],[30,2]]
[[3,1484274230709],[30,3]]
[[4,1484274230754],[30,4]]
[[5,1484274230802],[30,5]]
[[6,1484274230861],[30,6]]
[[7,1484274230908],[30,7]]
[[8,1484274230955],[30,8]]
[[9,1484274231003],[30,9]]
[[10,1484274231059],[30,10]]
[[11,1484274231104],[30,11]]
[[12,1484274231153],[30,12]]
[[13,1484274231208],[30,13]]
[[14,1484274231252],[30,14]]
[[15,1484274231310],[30,15]]
[[16,1484274231356],[30,16]]
[[17,1484274231403],[30,17]]
[[18,1484274231461],[30,18]]
[[19,1484274231507],[30,19]]
[[20,1484274231554],[30,20]]
[[21,1484274231612],[30,21]]
[[22,1484274231658],[30,22]]
[[23,1484274231704],[30,23]]
[[24,1484274231762],[30,24]]
[[25,1484274231808],[30,25]]
[[26,1484274231855],[30,26]]
[[27,1484274231902],[30,27]]
[[28,1484274231960],[30,28]]
[[29,1484274232006],[30,29]]
[[30,1484274232053],[30,30]]
[[31,1484274232112],[30,31]]
[[32,1484274232157],[30,32]]
[[33,1484274232204],[30,33]]
[[34,1484274232260],[30,34]]
[[35,1484274232306],[30,35]]
[[36,1484274232363],[30,36]]
[[37,1484274232408],[30,37]]
[[38,1484274232453],[30,38]]
[[39,1484274232511],[30,39]]
[[40,1484274232556],[30,40]]
[[41,1484274232604],[30,41]]
[[42,1484274232662],[30,42]]
[[43,1484274232708],[30,43]]
[[44,1484274232754],[30,44]]
[[45,1484274232813],[30,45]]
[[46,1484274232859],[30,46]]
[[47,1484274232906],[30,47]]
[[48,1484274232952],[30,48]]
[[49,1484274233012],[30,49]]
[[50,1484274233055],[30,50]]
[[51,1484274233109],[30,51]]
[[52,1484274233156],[30,52]]
[[53,1484274233202],[30,53]]
[[54,1484274233260],[30,54]]
[[55,1484274233307],[30,55]]
[[56,1484274233353],[30,56]]
[[57,1484274233411],[30,57]]
[[58,1484274233458],[30,58]]
[[59,1484274233504],[30,59]]
[[60,1484274233559],[30,60]]
[[61,1484274233605],[30,61]]
[[62,1484274233663],[30,62]]
[[63,1484274233709],[30,63]]
[[64,1484274233752],[30,64]]
[[65,1484274233809],[30,65]]
[[66,1484274233858],[30,66]]
[[67,1484274233910],[30,67]]
[[68,1484274233957],[30,68]]
[[69,1484274234003],[30,69]]
[[70,1484274234061],[30,70]]
[[71,1484274234108],[30,71]]
[[72,1484274234154],[30,72]]
[[73,1484274234209],[30,73]]
[[74,1484274234255],[30,74]]
[[75,1484274234312],[30,75]]
[[76,1484274234358],[30,76]]
[[77,1484274234405],[30,77]]
[[78,1484274234461],[30,78]]
[[79,1484274234506],[30,79]]
[[80,1484274234559],[30,80]]
[[81,1484274234605],[30,81]]
[[82,1484274234661],[30,82]]
[[83,1484274234703],[30,83]]
[[84,1484274234758],[30,84]]
[[85,1484274234804],[30,85]]
[[86,1484274234862],[30,86]]
[[87,1484274234910],[30,87]]
[[88,1484274234955],[30,88]]
[[89,1484274235002],[30,89]]
[[90,1484274235060],[30,90]]
[[91,1484274235106],[30,91]]
[[92,1484274235153],[30,92]]
[[93,1484274235212],[30,93]]
[[94,1484274235257],[30,94]]
[[95,1484274235303],[30,95]]
[[96,1484274235359],[30,96]]
[[97,1484274235403],[30,97]]
[[98,1484274235459],[30,98]]
[[99,1484274235505],[30,99]]
[[100,1484274235559],[30,100]]
[[101,1484274235605],[30,101]]
[[102,1484274235652],[30,102]]
[[103,1484274235710],[30,103]]
[[104,1484274235756],[30,104]]
[[105,1484274235803],[30,105]]
[[106,1484274235858],[30,106]]
[[107,1484274235902],[30,107]]
[[108,1484274235959],[30,108]]
[[109,1484274236003],[30,109]]
[[110,1484274236061],[30,110]]
[[111,1484274236105],[30,111]]
[[112,1484274236158],[30,112]]
[[113,1484274236203],[30,113]]
[[114,1484274236260],[30,114]]
[[115,1484274236308],[30,115]]
[[116,1484274236355],[30,116]]
[[117,1484274236404],[30,117]]
[[118,1484274236458],[30,118]]
[[119,1484274236503],[30,119]]
[[120,1484274236560],[30,120]]
[[121,1484274236606],[30,121]]
[[122,1484274236659],[30,122]]
[[123,1484274236705],[30,123]]
[[124,1484274236761],[30,124]]
[[125,1484274236805],[30,125]]
[[126,1484274236859],[30,126]]
[[127,1484274236906],[30,127]]
[[128,1484274236962],[30,128]]
[[129,1484274237006],[30,129]]
[[130,1484274237062],[30,130]]
[[131,1484274237107],[30,131]]
[[132,1484274237161],[30,132]]
[[133,1484274237208],[30,133]]
[[134,1484274237253],[30,134]]
[[135,1484274237308],[30,135]]
[[136,1484274237354],[30,136]]
[[137,1484274237409],[30,137]]
[[138,1484274237454],[30,138]]
[[139,1484274237510],[30,139]]
[[140,1484274237556],[30,140]]
[[141,1484274237621],[30,141]]
[[142,1484274237662],[30,142]]
[[143,1484274237702],[30,143]]
[[144,1484274237758],[30,144]]
[[145,1484274237811],[30,145]]
[[146,1484274237854],[30,146]]
[[147,1484274237911],[30,147]]
[[148,1484274237955],[30,148]]
[[149,1484274238006],[30,149]]
[[150,1484274238054],[30,150]]
[[151,1484274238108],[30,151]]
[[152,1484274238171],[30,152]]
[[153,1484274238203],[30,153]]
[[154,1484274238263],[30,154]]
[[155,1484274238307],[30,155]]
[[156,1484274238352],[30,156]]
[[157,1484274238405],[30,157]]
[[158,1484274238461],[30,158]]
[[159,1484274238508],[30,159]]
[[160,1484274238552],[30,160]]
[[161,1484274238603],[30,161]]
[[162,1484274238660],[30,162]]
